ID,oID,oType,Notes,ChangeParentID,MultipleSpecialisationGeneric
67930,671,Major,"Students who commenced Professional Economics under the Bachelor of Commerce prior to 2021: 
You may follow the structure listed in the 2020 handbook
If you wish to complete your major following the new structure below, please contact your Student Advising Office for advice.",NULL,0
75892,4879,Major,,NULL,0
